title,price_gbp,star_rating,availability,category,rating,in_stock,price_inr
Chase Me (Paris Nights #2),25.27,Five,In stock,Romance,5,True,2665.985
Black Dust,34.53,Five,In stock,Romance,5,True,3642.915
Birdsong: A Story in Pictures,54.64,Three,In stock,Childrens,3,True,5764.52
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,Three,In stock,Default,3,True,2373.75
Aladdin and His Wonderful Lamp,53.13,Three,In stock,Default,3,True,5605.215
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,Five,In stock,Nonfiction,5,True,4251.65
Wall and Piece,44.18,Four,In stock,Art,4,True,4660.99
The Four Agreements: A Practical Guide to Personal Freedom,17.66,Five,In stock,Spirituality,5,True,1863.13
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,Three,In stock,Nonfiction,3,True,3275.775
The Elephant Tree,23.82,Five,In stock,Thriller,5,True,2513.01
The Bear and the Piano,36.89,One,In stock,Childrens,1,True,3891.895
Sophie's World,15.94,Five,In stock,Philosophy,5,True,1681.6699999999998
Penny Maybe,33.29,Three,In stock,Default,3,True,3512.095
Maude (1883-1993):She Grew Up with the country,18.02,Two,In stock,Default,2,True,1901.11
"In a Dark, Dark Wood",19.63,One,In stock,Mystery,1,True,2070.9649999999997
Behind Closed Doors,52.22,Four,In stock,Thriller,4,True,5509.21
You can't bury them all: Poems,33.63,Two,In stock,Poetry,2,True,3547.965
Slow States of Collapse: Poems,57.31,Three,In stock,Poetry,3,True,6046.205
Reasons to Stay Alive,26.41,Two,In stock,Nonfiction,2,True,2786.255
Private Paris (Private #10),47.61,Five,In stock,Fiction,5,True,5022.855
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,Five,In stock,Nonfiction,5,True,2438.105
Without Borders (Wanderlove #1),45.07,Two,In stock,New Adult,2,True,4754.885
When We Collided,31.77,One,In stock,Contemporary,1,True,3351.735
"We Love You, Charlie Freeman",50.27,Five,In stock,Fiction,5,True,5303.485000000001
Untitled Collection: Sabbath Poems 2014,14.27,Four,In stock,Poetry,4,True,1505.485
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,Four,In stock,Nonfiction,4,True,4660.99
Unicorn Tracks,18.78,Three,In stock,Fantasy,3,True,1981.2900000000002
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,One,In stock,History,1,True,2692.36
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,One,In stock,Sequential Art,1,True,1717.5400000000002
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,Three,In stock,Nonfiction,3,True,3283.1600000000003
This One Summer,19.49,Four,In stock,Sequential Art,4,True,2056.1949999999997
Thirst,17.27,Five,In stock,Fiction,5,True,1821.985
The Torch Is Passed: A Harding Family Story,19.09,One,In stock,Add a comment,1,True,2013.995
The Secret of Dreadwillow Carse,56.13,One,In stock,Childrens,1,True,5921.715
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,One,In stock,Food and Drink,1,True,5951.254999999999
The Past Never Ends,56.5,Four,In stock,Mystery,4,True,5960.75
The Natural History of Us (The Fine Art of Pretending #2),45.22,Three,In stock,Young Adult,3,True,4770.71
The Nameless City (The Nameless City #1),38.16,Four,In stock,Sequential Art,4,True,4025.8799999999997
The Murder That Never Was (Forensic Instincts #5),54.11,Three,In stock,Fiction,3,True,5708.605
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,Four,In stock,Science,4,True,4532.28
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,Four,In stock,Add a comment,4,True,2520.395
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,Three,In stock,Nonfiction,3,True,1769.235
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,Five,In stock,Default,5,True,2172.245
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,One,In stock,Nonfiction,1,True,3917.215
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,One,In stock,Nonfiction,1,True,5914.33
The Death of Humanity: and the Case for Life,58.11,Four,In stock,Philosophy,4,True,6130.605
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,Three,In stock,Health,3,True,5174.775
The Art Forger,40.76,Three,In stock,Add a comment,3,True,4300.179999999999
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,One,In stock,History,1,True,2081.515
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,Five,In stock,Spirituality,5,True,3401.32
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,Four,In stock,Nonfiction,4,True,4413.065
Soul Reader,39.58,Two,In stock,Default,2,True,4175.69
Security,39.25,Two,In stock,Horror,2,True,4140.875
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,Three,In stock,Fantasy,3,True,2639.61
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,Two,In stock,Sequential Art,2,True,5384.72
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,Two,In stock,Nonfiction,2,True,2092.0649999999996
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,Three,In stock,Sequential Art,3,True,5317.2
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,Five,In stock,Sequential Art,5,True,1435.855
Princess Between Worlds (Wide-Awake Princess #5),13.34,Five,In stock,Fantasy,5,True,1407.37
"Pop Gun War, Volume 1: Gift",18.97,One,In stock,Sequential Art,1,True,2001.3349999999998
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,Two,In stock,History,2,True,3827.54
Patience,10.16,Three,In stock,Sequential Art,3,True,1071.88
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,Four,In stock,Sequential Art,4,True,1628.9199999999998
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,One,In stock,Sequential Art,1,True,5107.254999999999
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,One,In stock,Self Help,1,True,4889.925
On a Midnight Clear,14.07,Three,In stock,Add a comment,3,True,1484.385
Obsidian (Lux #1),14.86,Two,In stock,Young Adult,2,True,1567.73
My Paris Kitchen: Recipes and Stories,33.37,Two,In stock,Food and Drink,2,True,3520.535
Masks and Shadows,56.4,Two,In stock,Fantasy,2,True,5950.2
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,Four,In stock,Food and Drink,4,True,1479.11
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,Two,In stock,Sequential Art,2,True,4949.004999999999
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,Three,In stock,Sequential Art,3,True,4811.855
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,Two,In stock,Sequential Art,2,True,2101.5600000000004
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,One,In stock,Food and Drink,1,True,4231.605
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,Two,In stock,Add a comment,2,True,5686.45
Join,35.67,Five,In stock,Science Fiction,5,True,3763.1850000000004
In the Country We Love: My Family Divided,22.0,Four,In stock,Nonfiction,4,True,2321.0
